iter	Passed	Remaining
0	0	757
1	1	682
2	1	649
3	2	618
4	3	606
5	3	608
6	4	603
7	4	596
8	5	592
9	5	583
10	6	577
11	6	570
12	7	562
13	7	557
14	8	555
15	8	551
16	9	548
17	10	546
18	10	543
19	11	541
20	11	540
21	12	538
22	12	537
23	13	536
24	13	533
25	14	531
26	14	528
27	15	526
28	15	524
29	16	524
30	16	522
31	17	522
32	17	520
33	18	520
34	18	519
35	19	519
36	19	519
37	20	519
38	21	519
39	21	517
40	22	515
41	22	515
42	23	513
43	23	513
44	24	512
45	24	511
46	25	510
47	25	509
48	26	508
49	26	508
50	27	510
51	28	511
52	28	509
53	29	508
54	29	507
55	30	506
56	30	505
57	31	505
58	31	505
59	32	504
60	32	502
61	33	502
62	33	501
63	34	501
64	34	499
65	35	498
66	35	498
67	36	497
68	36	496
69	37	495
70	37	494
71	38	493
72	38	493
73	39	492
74	39	491
75	40	490
76	40	489
77	41	488
78	41	487
79	42	487
80	42	486
81	43	486
82	43	483
83	44	482
84	44	481
85	45	481
86	45	481
87	46	481
88	46	480
89	47	480
90	48	479
91	48	478
92	48	477
93	49	477
94	50	477
95	50	477
96	51	476
97	51	476
98	52	475
99	52	475
100	53	474
101	53	473
102	54	473
103	54	472
104	55	471
105	55	470
106	56	470
107	56	470
108	57	470
109	58	469
110	58	468
111	59	468
112	59	467
113	60	467
114	60	466
115	61	466
116	61	465
117	62	465
118	62	464
119	63	464
120	63	463
121	64	462
122	64	462
123	65	461
124	65	461
125	66	460
126	66	459
127	67	458
128	67	458
129	68	457
130	68	456
131	69	456
132	69	455
133	70	456
134	71	457
135	71	456
136	72	455
137	72	455
138	73	454
139	73	453
140	74	452
141	74	451
142	75	451
143	75	451
144	76	451
145	77	450
146	77	450
147	78	449
148	78	448
149	79	448
150	79	447
151	80	446
152	80	446
153	81	445
154	81	444
155	82	444
156	82	444
157	83	443
158	83	442
159	84	441
160	84	440
161	84	439
162	85	438
163	85	438
164	86	437
165	86	436
166	87	436
167	87	435
168	88	435
169	89	435
170	89	435
171	90	435
172	91	435
173	91	435
174	92	434
175	92	434
176	93	433
177	93	433
178	94	433
179	95	433
180	95	433
181	96	432
182	96	432
183	97	431
184	97	431
185	98	430
186	99	430
187	99	430
188	100	429
189	100	429
190	101	429
191	101	429
192	102	429
193	103	428
194	103	428
195	104	428
196	104	427
197	105	427
198	105	426
199	106	425
200	107	425
201	107	425
202	108	425
203	108	424
204	109	424
205	109	423
206	110	423
207	110	422
208	111	422
209	112	421
210	112	421
211	113	420
212	113	420
213	114	420
214	115	420
215	115	419
216	116	420
217	117	420
218	117	419
219	118	419
220	118	418
221	119	417
222	119	417
223	120	416
224	120	416
225	121	415
226	121	414
227	122	414
228	122	413
229	123	412
230	123	412
231	124	411
232	124	411
233	125	410
234	125	410
235	126	409
236	126	408
237	127	408
238	128	407
239	128	406
240	128	406
241	129	405
242	129	404
243	130	404
244	131	403
245	131	403
246	132	402
247	132	402
248	133	402
249	133	401
250	134	401
251	135	401
252	135	401
253	136	401
254	137	400
255	137	400
256	138	399
257	138	398
258	139	398
259	139	398
260	140	397
261	140	397
262	141	396
263	142	396
264	142	395
265	143	394
266	143	394
267	144	393
268	144	392
269	145	392
270	145	391
271	146	391
272	146	390
273	147	390
274	147	389
275	148	388
276	148	388
277	149	387
278	149	387
279	150	386
280	150	385
281	151	385
282	151	384
283	152	384
284	152	383
285	153	383
286	153	382
287	154	381
288	154	381
289	155	380
290	156	380
291	156	379
292	157	379
293	157	378
294	158	378
295	159	378
296	159	377
297	160	377
298	160	377
299	161	376
300	161	375
301	162	375
302	162	374
303	163	373
304	163	373
305	164	373
306	165	372
307	165	372
308	166	371
309	166	370
310	167	370
311	167	369
312	168	368
313	168	368
314	169	367
315	169	367
316	170	366
317	170	366
318	171	365
319	171	365
320	172	364
321	172	363
322	173	363
323	173	362
324	174	362
325	175	361
326	175	361
327	176	360
328	176	360
329	177	359
330	178	359
331	178	359
332	179	359
333	179	358
334	180	358
335	181	357
336	181	357
337	182	356
338	182	356
339	183	355
340	183	355
341	184	354
342	185	354
343	185	353
344	186	353
345	186	352
346	187	352
347	187	351
348	188	350
349	188	350
350	189	349
351	189	349
352	190	348
353	190	348
354	191	347
355	191	347
356	192	346
357	192	345
358	193	345
359	193	344
360	194	344
361	194	343
362	195	342
363	195	342
364	196	341
365	197	341
366	197	340
367	198	340
368	198	339
369	199	339
370	199	338
371	200	338
372	200	337
373	201	336
374	201	336
375	202	335
376	202	335
377	203	334
378	204	334
379	204	333
380	205	333
381	205	332
382	206	332
383	206	331
384	207	330
385	207	330
386	208	329
387	208	329
388	209	329
389	210	328
390	210	328
391	211	327
392	211	327
393	212	326
394	213	326
395	213	325
396	214	325
397	214	324
398	215	324
399	215	323
400	216	323
401	216	322
402	217	321
403	217	321
404	218	320
405	218	320
406	219	319
407	219	318
408	220	318
409	220	317
410	221	317
411	221	316
412	222	315
413	222	315
414	223	314
415	223	313
416	224	313
417	224	312
418	225	312
419	225	311
420	226	310
421	226	310
422	227	309
423	227	309
424	228	308
425	228	308
426	229	307
427	229	306
428	230	306
429	230	305
430	231	305
431	231	304
432	232	303
433	232	303
434	233	302
435	233	302
436	234	301
437	234	301
438	235	300
439	235	299
440	236	299
441	236	298
442	237	298
443	237	297
444	238	296
445	238	296
446	239	295
447	239	295
448	240	294
449	247	303
450	248	302
451	249	301
452	249	301
453	250	300
454	250	300
455	251	300
456	252	299
457	252	299
458	253	298
459	254	298
460	254	297
461	255	297
462	255	296
463	256	296
464	257	295
465	257	295
466	258	295
467	259	294
468	259	293
469	260	293
470	260	292
471	261	292
472	262	291
473	262	291
474	263	290
475	263	290
476	264	289
477	264	289
478	265	288
479	266	288
480	266	287
481	267	287
482	267	286
483	268	286
484	269	285
485	269	285
486	270	284
487	270	283
488	271	283
489	271	282
490	272	282
491	272	281
492	273	281
493	273	280
494	274	280
495	275	279
496	275	279
497	276	278
498	277	278
499	277	277
500	278	277
501	279	276
502	279	276
503	280	275
504	280	275
505	281	274
506	282	274
507	282	273
508	283	273
509	283	272
510	284	272
511	285	271
512	285	271
513	286	270
514	286	270
515	287	269
516	288	269
517	288	268
518	289	268
519	289	267
520	290	266
521	290	266
522	291	265
523	292	265
524	292	264
525	293	264
526	294	263
527	294	263
528	295	262
529	295	262
530	296	261
531	296	260
532	297	260
533	297	259
534	298	259
535	298	258
536	299	257
537	299	257
538	300	256
539	300	256
540	301	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	304	252
547	304	251
548	305	250
549	306	250
550	306	249
551	306	249
552	307	248
553	308	248
554	308	247
555	309	246
556	309	246
557	310	245
558	310	244
559	311	244
560	311	243
561	312	243
562	312	242
563	313	242
564	313	241
565	314	240
566	314	240
567	315	239
568	315	239
569	316	238
570	316	237
571	317	237
572	317	236
573	318	236
574	319	235
575	319	235
576	320	234
577	320	234
578	321	233
579	321	233
580	322	232
581	323	231
582	323	231
583	323	230
584	324	230
585	324	229
586	325	228
587	325	228
588	326	227
589	326	227
590	327	226
591	327	225
592	328	225
593	328	224
594	329	224
595	329	223
596	330	222
597	330	222
598	331	221
599	331	221
600	332	220
601	332	220
602	333	219
603	333	218
604	334	218
605	334	217
606	335	217
607	335	216
608	336	215
609	336	215
610	337	214
611	337	214
612	338	213
613	339	213
614	339	212
615	340	211
616	340	211
617	341	210
618	341	210
619	342	209
620	342	209
621	343	208
622	343	208
623	344	207
624	344	206
625	345	206
626	346	205
627	346	205
628	347	204
629	347	204
630	348	203
631	348	203
632	349	202
633	349	201
634	350	201
635	350	200
636	351	200
637	351	199
638	352	199
639	352	198
640	353	197
641	353	197
642	354	196
643	354	196
644	355	195
645	356	195
646	356	194
647	357	194
648	357	193
649	358	193
650	359	192
651	359	191
652	360	191
653	360	190
654	361	190
655	361	189
656	362	189
657	362	188
658	363	188
659	364	187
660	364	186
661	365	186
662	365	185
663	366	185
664	366	184
665	367	184
666	367	183
667	368	182
668	368	182
669	369	181
670	369	181
671	370	180
672	370	180
673	371	179
674	371	178
675	372	178
676	372	177
677	373	177
678	373	176
679	374	176
680	374	175
681	375	175
682	376	174
683	376	173
684	377	173
685	377	172
686	378	172
687	378	171
688	379	171
689	379	170
690	380	170
691	380	169
692	381	168
693	381	168
694	382	167
695	383	167
696	383	166
697	384	166
698	385	165
699	385	165
700	386	164
701	386	164
702	387	163
703	388	163
704	388	162
705	389	162
706	389	161
707	390	160
708	390	160
709	391	159
710	391	159
711	392	158
712	392	158
713	393	157
714	393	157
715	394	156
716	395	155
717	395	155
718	396	154
719	396	154
720	397	153
721	397	153
722	398	152
723	398	151
724	399	151
725	399	150
726	400	150
727	400	149
728	401	149
729	401	148
730	402	147
731	402	147
732	403	146
733	403	146
734	404	145
735	404	145
736	405	144
737	405	144
738	406	143
739	406	142
740	407	142
741	407	141
742	408	141
743	408	140
744	409	140
745	409	139
746	410	138
747	410	138
748	411	137
749	411	137
750	412	136
751	412	136
752	413	135
753	413	135
754	414	134
755	414	133
756	415	133
757	415	132
758	416	132
759	416	131
760	417	131
761	417	130
762	418	129
763	418	129
764	419	128
765	419	128
766	420	127
767	421	127
768	421	126
769	422	126
770	422	125
771	423	124
772	423	124
773	424	123
774	424	123
775	425	122
776	425	122
777	426	121
778	426	121
779	427	120
780	427	119
781	428	119
782	428	118
783	429	118
784	429	117
785	430	117
786	430	116
787	431	116
788	431	115
789	432	114
790	433	114
791	433	113
792	434	113
793	434	112
794	435	112
795	435	111
796	436	111
797	436	110
798	437	110
799	437	109
800	438	108
801	439	108
802	439	107
803	440	107
804	440	106
805	441	106
806	441	105
807	442	105
808	442	104
809	443	103
810	443	103
811	444	102
812	444	102
813	445	101
814	445	101
815	446	100
816	446	100
817	447	99
818	447	98
819	448	98
820	448	97
821	449	97
822	449	96
823	450	96
824	451	95
825	451	95
826	452	94
827	453	94
828	453	93
829	454	92
830	454	92
831	454	91
832	455	91
833	455	90
834	456	90
835	457	89
836	457	89
837	458	88
838	458	88
839	459	87
840	459	86
841	460	86
842	460	85
843	461	85
844	461	84
845	462	84
846	462	83
847	463	83
848	463	82
849	464	81
850	465	81
851	465	80
852	466	80
853	466	79
854	467	79
855	467	78
856	468	78
857	468	77
858	469	77
859	469	76
860	470	75
861	470	75
862	471	74
863	471	74
864	472	73
865	472	73
866	473	72
867	473	72
868	474	71
869	474	70
870	475	70
871	475	69
872	476	69
873	476	68
874	477	68
875	477	67
876	478	67
877	478	66
878	479	65
879	479	65
880	480	64
881	480	64
882	481	63
883	481	63
884	482	62
885	482	62
886	483	61
887	484	61
888	484	60
889	485	59
890	485	59
891	486	58
892	486	58
893	487	57
894	488	57
895	488	56
896	489	56
897	489	55
898	490	55
899	490	54
900	491	54
901	492	53
902	492	52
903	493	52
904	493	51
905	494	51
906	494	50
907	495	50
908	495	49
909	496	49
910	496	48
911	497	47
912	497	47
913	498	46
914	498	46
915	499	45
916	499	45
917	500	44
918	500	44
919	501	43
920	501	43
921	502	42
922	503	41
923	503	41
924	503	40
925	504	40
926	505	39
927	505	39
928	505	38
929	506	38
930	506	37
931	507	37
932	508	36
933	508	35
934	509	35
935	509	34
936	510	34
937	510	33
938	511	33
939	511	32
940	512	32
941	512	31
942	513	31
943	513	30
944	514	29
945	514	29
946	515	28
947	515	28
948	516	27
949	516	27
950	517	26
951	517	26
952	518	25
953	518	25
954	519	24
955	519	23
956	520	23
957	520	22
958	521	22
959	522	21
960	522	21
961	523	20
962	523	20
963	524	19
964	524	19
965	525	18
966	525	17
967	526	17
968	526	16
969	527	16
970	527	15
971	528	15
972	528	14
973	529	14
974	529	13
975	530	13
976	530	12
977	531	11
978	531	11
979	532	10
980	532	10
981	533	9
982	534	9
983	534	8
984	535	8
985	536	7
986	536	7
987	537	6
988	537	5
989	538	5
990	538	4
991	539	4
992	539	3
993	540	3
994	541	2
995	541	2
996	542	1
997	542	1
998	543	0
999	543	0
